iteration,cost_goal0,cost_goal1,cost_goal2
1,42.168927407344604,38.48,36.033579742499924
2,46.159743042589476,42.94,39.652220002913616
3,46.38464160795895,42.94,39.832196027939766
4,46.729713473750834,42.94,39.116493047386825
5,45.97444088646563,42.94,40.28403899641546
6,46.24079185448487,42.940000000000005,39.957236051104175
7,48.809965523612355,45.720000000000006,42.919489608747206
8,48.78028655473184,45.24,41.549456824800465
9,44.51778668214493,41.8,38.55039823289245
10,42.8702203565044,40.34,37.627829673172485
11,42.13784188906656,41.040000000000006,38.46299836851707
12,42.96139260064351,41.040000000000006,38.7532315171913
13,44.24959937011977,41.03999999999999,37.94361688003345
14,44.27815014311622,41.04,37.619948300918644
15,43.61005622735829,41.04,37.69371259666909
16,45.21489153297945,41.080000000000005,37.69735760205102
17,44.20276765941391,41.080000000000005,38.23402257739873
18,49.17668376810537,46.379999999999995,41.779326920928504
19,48.27479080311952,46.379999999999995,42.675457895303246
20,49.56238469557129,46.38,41.97766832392942
21,42.88892315094909,40.7,38.39495475468224
22,43.65837551052073,40.7,37.95996328319416
23,43.86894769393532,40.7,37.37275186501466
24,43.42615604091093,40.720000000000006,37.19992477934199
25,38.72414922685959,37.400000000000006,34.96793172401085
26,36.01880898393204,33.84,31.648130234895206
27,39.594836498022026,38.02,34.432996018350686
28,42.548197824369105,39.38,35.83414316432305
29,42.032156977456154,38.34,34.61367029239293
30,39.45706039511408,37.2,34.01366338713113
31,39.85562605623671,37.900000000000006,34.952996299875494
32,39.77370852486354,37.900000000000006,35.51021474584408
33,42.921613315278,39.8,37.02377307571455
34,37.62186621661923,35.58,32.71161383375035
35,34.28168755326923,33.120000000000005,30.20121419589336
36,35.96993843513856,33.120000000000005,31.526915698555978
37,35.32899562023149,33.120000000000005,29.470171563135303
38,35.948609341496045,33.92,30.910829310444747
39,35.89507041755135,33.92,30.9225939691931
40,36.981993399635904,33.92,31.20676871874775
41,39.69362480136014,35.96,33.269922159537366
42,39.094185919415295,35.96,33.78674341538146
43,36.53157609905465,32.52,29.55005741809815
44,36.1847344325941,32.519999999999996,30.233699766175683
45,34.236425929392034,32.519999999999996,30.0371370250238
46,34.766757173583564,32.519999999999996,29.83192317223072
47,32.64904821190085,30.599999999999998,28.120313366355084
48,32.98272912249701,30.599999999999998,28.684129424458366
49,32.986743075331084,30.599999999999998,27.808705882578717
50,31.027943478736443,29.939999999999998,27.17284516124571
51,30.656048146491894,29.939999999999998,27.252307014599573
52,28.088958423303566,25.9,23.556777972191
53,30.722435617902597,29.02,26.029024936886266
54,30.938194577384277,29.02,27.316978440438238
55,30.691595012994597,29.02,26.24653593321311
56,31.602802423432433,29.02,27.28745457017811
57,28.25709714455603,26.240000000000002,24.033359428281635
58,28.546376183600902,27.240000000000002,24.87324692083625
59,31.06546058343854,28.82,27.51860561420846
60,30.571232163255893,28.82,26.994890059531006
61,29.488886374679534,28.120000000000005,26.029496528544673
62,30.39353661175273,28.660000000000004,26.61453114731245
63,30.92663457815608,29.120000000000005,26.163636908390455
64,30.831732248942174,29.120000000000005,27.240116498871927
65,31.6784510258153,29.120000000000005,27.266468883273088
66,31.55730732565526,29.880000000000003,28.254571266060893
67,31.934334532871144,29.880000000000003,28.4040134020269
68,26.489648645155324,24.580000000000002,22.55751982617795
69,27.452181248265376,25.180000000000003,23.76251774566884
70,28.471271829006632,26.360000000000003,23.640503702833552
71,32.49593871398981,29.5,27.507422163034775
72,31.30900593189261,29.5,26.913540039453736
73,32.41484325765443,30.94,28.196380106085407
74,31.51444771548366,30.300000000000004,28.425716235348062
75,32.56977883867461,31.020000000000003,28.84754720249952
76,35.62683365436587,32.9,30.957516388333435
77,34.49626450798334,32.62,31.568639883354063
78,33.036672659526374,31.259999999999998,28.187632943151012
79,32.93474793141984,31.960000000000004,30.41992932575513
80,34.86157453081197,31.960000000000004,28.77710500252483
81,33.9558642032714,31.260000000000005,28.34011265278689
82,35.24766418096489,32.32000000000001,30.21897555317784
83,32.31778812892726,30.58,27.97060945034669
84,35.42517006900463,33.42,30.51470959432021
85,40.87930247740751,37.36,34.40545120074721
86,40.881510243939495,38.16,34.98242233364619
87,41.97790345301157,38.16,35.169882452699596
88,42.811151276122814,40.32,36.35619543664538
89,42.809316032509265,40.32,37.5088052141908
90,47.177253266943865,43.9,41.97070812152131
91,47.760228926342634,43.519999999999996,39.96863829518786
92,50.19929384593214,46.4,42.03601631971236
93,51.870823889194234,48.54,45.172431546880645
94,52.07852331567593,48.54,45.17890728209469
95,54.75142142367885,51.839999999999996,48.228447367622984
96,56.29093892568193,53.519999999999996,50.22223004821697
97,57.39358452520607,53.52,49.25355549392232
98,60.68350077681543,57.63999999999999,52.25922363136035
99,62.20031147645897,57.63999999999999,53.28206632327538
100,62.78206123538048,58.0,53.9897419997766
101,65.51458411247884,61.06,56.670079184654156
102,64.87899434670211,60.64,56.149916933296396
103,64.05239056623688,60.56,56.52332661657374
104,66.89555005641394,61.5,57.220781682756574
105,67.85205877856184,63.9,58.85345835786203
106,68.45657038381536,63.9,59.194727007386305
107,68.65386440647538,63.9,59.1864711087481
108,67.37646114291628,62.9,57.068556925935326
109,65.63450201391635,61.32,56.25441624044569
110,65.68535564153818,61.32,56.57606535148713
111,66.20761773830402,62.0,56.93281122569582
112,66.47539124936308,62.46,56.41681148637603
113,75.11054970535466,69.1,64.55858049094563
114,74.71163586591241,69.1,64.20614158751492
115,74.94624056504223,69.58,64.46839794180529
116,72.79366039619661,68.98,64.75748793391884
117,75.78563218111971,70.38000000000001,64.88581316684541
118,75.64913881011076,70.38,65.22196298837943
119,76.8574169820258,71.42,66.58080000865746
120,75.4597127081821,71.14,65.48275887348973
121,77.77746909768473,72.22,67.71326661491216
122,79.50220167665908,74.02,69.11226817426578
123,78.45047805648086,73.12,67.91968408120833
124,78.94794866332421,72.94000000000001,67.74912349674413
125,77.1979410918025,72.22,66.44205660160101
126,75.64329894418601,71.16,65.76830521261111
127,72.22717373660501,67.54,62.35409740909899
128,77.93363696371608,72.27999999999999,66.8757483125946
129,76.64978910660035,71.58,66.9459557398915
130,77.23858365048348,71.58,67.25134153058013
131,78.55808740678727,72.98,67.32551450897851
132,78.99244872316675,73.84000000000002,67.67598879874915
133,76.59468679492369,72.08000000000001,67.7503031370072
134,73.74633377172339,69.24000000000001,63.7906572972423
135,73.54122532494046,69.8,64.81626957013077
136,79.57841958318096,74.04,68.19101763582208
137,79.6325709912092,74.04,68.3760263601372
138,76.72343649135685,72.52,67.2312787261363
139,77.2761115282449,72.52,67.58438656945788
140,76.69926103552494,71.75999999999999,66.01316966323975
141,75.34026417538868,70.41999999999999,63.920507759934345
142,72.44240251334901,67.53999999999999,62.729334913033526
143,71.32695841052674,67.16000000000001,63.155479119053645
144,73.95668506899176,68.94000000000001,63.968870024265065
145,70.33705306852563,65.64,61.10710233435583
146,69.64470494549916,65.00000000000001,59.834873840457945
147,72.1175493659366,66.94000000000001,62.683026071458656
148,68.00927558376124,63.260000000000005,58.48106546130008
149,70.60524941480719,66.36,62.094219242332905
150,71.24693391828033,67.16,62.42393891429231
151,70.02983839128336,64.10000000000001,59.80742391312003
152,71.3910149552959,66.46,61.42334831952455
153,72.0572330266941,67.02,62.97036795083153
154,73.72867658876244,68.53999999999999,63.60594894928982
155,70.0287978094457,66.14,61.32202802090363
156,72.63924375721588,67.18,62.831959639493114
157,71.13245933091372,67.18,62.90314068314036
158,75.4966758509988,69.32000000000001,64.37584437165398
159,74.13626281031142,69.32000000000001,64.11909556151724
160,75.29324253519025,70.27999999999999,65.38309699023506
161,74.60271066243799,69.6,64.90439260404614
162,77.83538020130443,73.86,69.74407700124
163,72.2563770769471,67.16000000000001,62.8628217252294
164,71.06711729291852,67.16,62.821417325936906
165,77.54171534765416,72.38,66.52121881862857
166,79.46979628607154,74.10000000000001,67.31027069896929
167,77.62544043190212,72.70000000000002,66.81751240877142
168,77.73972884720736,72.70000000000002,67.1435953740247
169,76.98647155660606,71.64,65.98858769070478
170,74.83462515820628,70.74,65.74399556017188
171,70.22988797443143,66.72000000000001,62.74969743987825
172,70.0787811835535,65.96000000000001,60.93089778916646
173,76.28090326899836,70.52,65.48554942924507
174,74.26817318512974,69.74,63.826211270622046
175,74.62659710326938,69.74,64.59253400086591
176,72.06717126880122,67.9,62.30244975348464
177,71.74006379300138,67.62,62.43824236919269
178,67.84724474567327,62.88,58.655455643097305
179,66.84422546587282,62.88,58.082526834992514
180,69.53487145797065,64.34,60.04359784270654
181,71.14427521894251,66.42,61.3900469556463
182,69.34562750880222,65.02,60.53252390600303
183,73.74884732651022,68.83999999999999,63.82810848028139
184,79.34366734800648,74.34,68.47742100607567
185,73.86506774703767,69.84,65.583407978208
186,69.76654678048388,65.32000000000001,60.52140350527594
187,70.60704050380392,65.32000000000001,60.67299359920057
188,69.180351007741,64.24000000000001,59.57675129539249
189,69.66786272757835,64.44000000000001,60.135113526738266
190,68.57514918077217,63.92,58.760915954923114
191,70.99505506509543,67.05999999999999,61.725939930565524
192,74.23425995396414,69.78,64.14208348146023
