iteration,reward_goal0,reward_goal1,reward_goal2
1,0.32557391032877514,-0.19399999999999998,-0.15262403277753242
2,-0.598018077326563,-0.21199999999999997,-0.8737305804009273
3,0.26121911743639437,-0.21,-0.6800052965788759
4,-0.19483175506054407,-0.28600000000000003,-0.4949106509146757
5,0.28287953484144945,-0.30400000000000005,-0.5665996639441833
6,-0.8553051091816286,-0.26400000000000007,0.5031351024367098
7,0.13903510539105995,-0.2880000000000001,0.524003128471603
8,-1.0067901608478893,-0.24400000000000005,-1.6271042560243976
9,-0.3685243381397464,-0.32000000000000006,0.35857239000130325
10,-0.8686986916942174,-0.33,-0.2610563953429428
11,-0.05139846054106012,-0.324,-0.8698292610567608
12,-0.43101630622788545,-0.30000000000000004,0.6347021247361544
13,0.2859516027738166,-0.3340000000000001,-0.1967519410387164
14,-1.4566586116001563,-0.37000000000000005,-0.14106902679926914
15,0.07581076926375141,-0.356,-0.8510115436411034
16,-0.4060050614989232,-0.434,-1.0944399059091543
17,0.6299011142327947,-0.47400000000000003,-0.41033602663873003
18,0.2818865676711971,-0.44800000000000006,-0.6450688393821523
19,0.11864791258052398,-0.48800000000000004,0.10006900167013022
20,-0.04067693439488107,-0.502,-0.047853590169929405
21,-0.5885726205631618,-0.532,0.13875903939233214
22,-0.4638335947738975,-0.556,-0.1847270769321468
23,-2.5958948630426284,-0.5920000000000001,-1.0055091465494794
24,-0.5357445327991059,-0.6120000000000001,-1.5770052436715094
25,-1.035819839316078,-0.658,-0.919248278361823
26,-0.5896202787168913,-0.574,-0.19783597118653856
27,-0.697399349050658,-0.5619999999999999,0.10857003179887958
28,-1.1879277854461798,-0.542,-0.45042429471943046
29,0.21382109804604255,-0.58,-0.1905351736951949
30,-0.9584048022130645,-0.604,-0.8404594971883906
31,-1.37365961795575,-0.6960000000000001,-1.0945940930225797
32,-0.3300955894658546,-0.7520000000000001,-1.3198322131507543
33,-1.081512676783434,-0.7580000000000001,-0.11217701529797708
34,-0.6892308682073699,-0.694,-1.1201689460599047
35,-1.8955585071961203,-0.7819999999999999,-0.9658434071065225
36,-1.0049800367535688,-0.832,-0.5413905620507145
37,-1.4416178807276354,-0.902,-1.5043254264853116
38,-1.5970899105755931,-0.906,0.27911682577935293
39,-0.6877294991231786,-0.8400000000000001,-0.7896994580688153
40,-0.49777544141516367,-0.8520000000000001,-0.8745973849783488
41,0.18779331138405997,-0.8880000000000001,-1.3784133520597224
42,-1.1798973468469676,-0.9160000000000001,-2.059013241043286
43,-1.516758012448111,-0.97,-0.8819346112874709
44,-0.8494175697407446,-1.028,-0.8733370729225345
45,-0.3984565254675939,-1.076,-1.3850626239632986
46,-1.010699135687439,-1.11,-1.9057353415635117
47,-2.4917878341576367,-1.2420000000000002,-0.8658905821639069
48,-1.633743519327916,-1.298,-1.701845435549128
49,-1.2536979730751088,-1.3820000000000001,-1.375067322362189
50,-2.9108394166826863,-1.4020000000000001,-1.9057775897028293
51,-2.582267070872197,-1.4880000000000002,-1.89106271432795
52,-1.342684145157702,-1.5260000000000002,-2.5378200156103428
53,-1.4655742215111753,-1.5880000000000003,-0.8090413561766578
54,-1.8400555737103181,-1.594,-0.9270579232392263
55,-2.2846945217966343,-1.6640000000000004,-1.9889823614550663
56,-2.6861281949792795,-1.8200000000000003,-1.6138340545901297
57,-0.7400647890558909,-1.8420000000000003,-2.2172588057632234
58,-2.409841458976749,-1.9640000000000002,-2.0289981456077486
59,-1.1989773436443731,-1.9720000000000002,-2.0999671881654276
60,-1.8111944956673667,-2.008,-2.0790684412884164
61,-1.8457136116758819,-2.032,-1.6722336865747138
62,-3.038609293323077,-2.138,-2.7002521988533372
63,-2.1582911910809486,-2.118,-3.0159331632725346
64,-2.2267713298408887,-2.136,-2.3551310396667557
65,-1.7515976359992569,-2.14,-2.6689049161442933
66,-3.078829815837053,-2.138,-2.7715104830636332
