[it 0001] step=1024 | EpRew=-0.0 EpCost=0.0 | Vr=0.092 Vc=0.162 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=0.1m
[it 0002] step=2048 | EpRew=-0.7 EpCost=0.0 | Vr=0.097 Vc=0.127 | PiLoss=0.021 Track=0.021 MeanRatio=1.000 LB%=0.0% | time=0.1m
[it 0003] step=3072 | EpRew=1.1 EpCost=0.0 | Vr=0.101 Vc=0.130 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=0.2m
[it 0004] step=4096 | EpRew=0.1 EpCost=0.0 | Vr=0.080 Vc=0.107 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=0.2m
[it 0005] step=5120 | EpRew=0.8 EpCost=365.0 | Vr=0.077 Vc=47.459 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=0.3m
[it 0006] step=6144 | EpRew=0.2 EpCost=0.0 | Vr=0.078 Vc=0.090 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=0.4m
[it 0007] step=7168 | EpRew=-0.5 EpCost=0.0 | Vr=0.070 Vc=0.068 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=0.4m
[it 0008] step=8192 | EpRew=1.0 EpCost=0.0 | Vr=0.067 Vc=0.050 | PiLoss=0.030 Track=0.030 MeanRatio=1.000 LB%=0.0% | time=0.5m
[it 0001] step=1024 | EpRew=-0.0 EpCost=0.0 | Vr=0.092 Vc=0.162 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=0.1m
[it 0002] step=2048 | EpRew=-0.7 EpCost=0.0 | Vr=0.097 Vc=0.127 | PiLoss=0.021 Track=0.021 MeanRatio=1.000 LB%=0.0% | time=0.2m
[it 0003] step=3072 | EpRew=1.1 EpCost=0.0 | Vr=0.101 Vc=0.130 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=0.2m
[it 0004] step=4096 | EpRew=0.1 EpCost=0.0 | Vr=0.080 Vc=0.107 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=0.3m
[it 0005] step=5120 | EpRew=0.8 EpCost=365.0 | Vr=0.077 Vc=47.459 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=0.3m
[it 0006] step=6144 | EpRew=0.2 EpCost=0.0 | Vr=0.078 Vc=0.090 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=0.4m
[it 0007] step=7168 | EpRew=-0.5 EpCost=0.0 | Vr=0.070 Vc=0.068 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=0.4m
[it 0008] step=8192 | EpRew=1.0 EpCost=0.0 | Vr=0.067 Vc=0.050 | PiLoss=0.030 Track=0.030 MeanRatio=1.000 LB%=0.0% | time=0.5m
[it 0009] step=9216 | EpRew=-0.6 EpCost=389.0 | Vr=0.055 Vc=46.227 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=0.6m
[it 0010] step=10240 | EpRew=0.3 EpCost=405.0 | Vr=0.046 Vc=52.608 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=0.6m
[it 0011] step=11264 | EpRew=-0.7 EpCost=72.0 | Vr=0.054 Vc=7.674 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=0.7m
[it 0012] step=12288 | EpRew=1.8 EpCost=0.0 | Vr=0.043 Vc=0.039 | PiLoss=0.041 Track=0.041 MeanRatio=1.000 LB%=0.0% | time=0.7m
[it 0013] step=13312 | EpRew=2.1 EpCost=0.0 | Vr=0.051 Vc=0.039 | PiLoss=0.029 Track=0.029 MeanRatio=1.000 LB%=0.0% | time=0.8m
[it 0014] step=14336 | EpRew=-1.3 EpCost=0.0 | Vr=0.050 Vc=0.030 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=0.8m
[it 0015] step=15360 | EpRew=0.1 EpCost=0.0 | Vr=0.040 Vc=0.032 | PiLoss=0.029 Track=0.029 MeanRatio=1.000 LB%=0.0% | time=0.9m
[it 0016] step=16384 | EpRew=-0.7 EpCost=0.0 | Vr=0.044 Vc=0.035 | PiLoss=0.029 Track=0.029 MeanRatio=1.000 LB%=0.0% | time=1.0m
[it 0017] step=17408 | EpRew=0.9 EpCost=0.0 | Vr=0.029 Vc=0.037 | PiLoss=0.028 Track=0.028 MeanRatio=1.000 LB%=0.0% | time=1.0m
[it 0018] step=18432 | EpRew=-0.4 EpCost=0.0 | Vr=0.039 Vc=0.037 | PiLoss=0.030 Track=0.030 MeanRatio=1.000 LB%=0.0% | time=1.1m
[it 0019] step=19456 | EpRew=-0.5 EpCost=90.0 | Vr=0.034 Vc=6.806 | PiLoss=0.029 Track=0.029 MeanRatio=1.000 LB%=0.0% | time=1.1m
[it 0020] step=20480 | EpRew=-0.6 EpCost=0.0 | Vr=0.030 Vc=0.032 | PiLoss=0.027 Track=0.027 MeanRatio=1.000 LB%=0.0% | time=1.2m
[it 0021] step=21504 | EpRew=-0.0 EpCost=0.0 | Vr=0.026 Vc=0.023 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=1.2m
[it 0022] step=22528 | EpRew=-1.1 EpCost=0.0 | Vr=0.033 Vc=0.019 | PiLoss=0.029 Track=0.029 MeanRatio=1.000 LB%=0.0% | time=1.3m
[it 0023] step=23552 | EpRew=-0.3 EpCost=0.0 | Vr=0.021 Vc=0.017 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=1.3m
[it 0024] step=24576 | EpRew=-0.3 EpCost=445.0 | Vr=0.028 Vc=56.901 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=1.4m
[it 0025] step=25600 | EpRew=0.7 EpCost=0.0 | Vr=0.027 Vc=0.022 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=1.5m
[it 0026] step=26624 | EpRew=1.5 EpCost=360.0 | Vr=0.028 Vc=43.851 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=1.5m
[it 0027] step=27648 | EpRew=-1.2 EpCost=0.0 | Vr=0.024 Vc=0.013 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=1.6m
[it 0028] step=28672 | EpRew=0.1 EpCost=0.0 | Vr=0.018 Vc=0.014 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=1.6m
[it 0029] step=29696 | EpRew=-1.0 EpCost=0.0 | Vr=0.021 Vc=0.015 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=1.7m
[it 0030] step=30720 | EpRew=-0.9 EpCost=0.0 | Vr=0.022 Vc=0.012 | PiLoss=0.029 Track=0.029 MeanRatio=1.000 LB%=0.0% | time=1.7m
[it 0031] step=31744 | EpRew=-0.9 EpCost=167.0 | Vr=0.016 Vc=16.466 | PiLoss=0.034 Track=0.034 MeanRatio=1.000 LB%=0.0% | time=1.8m
[it 0032] step=32768 | EpRew=-1.0 EpCost=0.0 | Vr=0.014 Vc=0.015 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=1.8m
[it 0033] step=33792 | EpRew=-0.9 EpCost=48.0 | Vr=0.016 Vc=4.471 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=1.9m
[it 0034] step=34816 | EpRew=0.3 EpCost=0.0 | Vr=0.017 Vc=0.009 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=2.0m
[it 0035] step=35840 | EpRew=0.8 EpCost=0.0 | Vr=0.010 Vc=0.013 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=2.0m
[it 0036] step=36864 | EpRew=-0.0 EpCost=0.0 | Vr=0.015 Vc=0.010 | PiLoss=0.027 Track=0.027 MeanRatio=1.000 LB%=0.0% | time=2.1m
[it 0037] step=37888 | EpRew=-0.1 EpCost=0.0 | Vr=0.013 Vc=0.015 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=2.1m
[it 0038] step=38912 | EpRew=-2.3 EpCost=60.0 | Vr=0.014 Vc=6.084 | PiLoss=0.025 Track=0.025 MeanRatio=1.000 LB%=0.0% | time=2.2m
[it 0039] step=39936 | EpRew=0.1 EpCost=0.0 | Vr=0.014 Vc=0.011 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=2.3m
[it 0040] step=40960 | EpRew=0.1 EpCost=0.0 | Vr=0.011 Vc=0.010 | PiLoss=0.024 Track=0.024 MeanRatio=1.000 LB%=0.0% | time=2.3m
[it 0041] step=41984 | EpRew=0.3 EpCost=0.0 | Vr=0.008 Vc=0.012 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=2.4m
[it 0042] step=43008 | EpRew=-0.1 EpCost=0.0 | Vr=0.010 Vc=0.012 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=2.4m
[it 0043] step=44032 | EpRew=-0.3 EpCost=80.0 | Vr=0.010 Vc=8.800 | PiLoss=0.027 Track=0.027 MeanRatio=1.000 LB%=0.0% | time=2.5m
[it 0044] step=45056 | EpRew=0.1 EpCost=0.0 | Vr=0.012 Vc=0.011 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=2.5m
[it 0045] step=46080 | EpRew=-0.8 EpCost=0.0 | Vr=0.010 Vc=0.010 | PiLoss=0.023 Track=0.023 MeanRatio=1.000 LB%=0.0% | time=2.6m
[it 0046] step=47104 | EpRew=0.0 EpCost=324.0 | Vr=0.010 Vc=37.302 | PiLoss=0.020 Track=0.020 MeanRatio=1.000 LB%=0.0% | time=2.6m
[it 0047] step=48128 | EpRew=-0.4 EpCost=70.0 | Vr=0.010 Vc=7.416 | PiLoss=0.026 Track=0.026 MeanRatio=1.000 LB%=0.0% | time=2.7m
[it 0048] step=49152 | EpRew=-0.0 EpCost=0.0 | Vr=0.010 Vc=0.010 | PiLoss=0.022 Track=0.022 MeanRatio=1.000 LB%=0.0% | time=2.8m
